movie_title,content_rating,content_rating_id,genres,genres_encoded,runtime,original_release_date,tomatometer_status,tomatometer_rating,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
The Burrowers,R,3,"Horror, Mystery & Suspense, Western","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",96.0,2008-09-01,Fresh,75.0,1,9,3
The Midnight Meat Train,R,3,"Drama, Horror, Mystery & Suspense","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",100.0,2008-08-14,Fresh,73.0,5,24,9
The Lucky Ones,R,3,"Comedy, Drama","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",115.0,2008-09-26,Rotten,37.0,29,28,47
Run Fatboy Run,PG-13,2,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",100.0,2007-09-07,Rotten,47.0,39,72,82
Closing Escrow,PG,1,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",95.0,2007-02-28,Rotten,54.0,7,7,6
Whiteout,R,3,"Action & Adventure, Drama, Mystery & Suspense","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",101.0,2009-09-11,Rotten,7.0,28,8,108
Randy and the Mob,PG,1,"Comedy, Documentary","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",99.0,2007-10-13,Rotten,56.0,4,5,4
Black Irish,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",94.0,2007-10-26,Rotten,31.0,3,4,9
Wild Child,PG-13,2,Comedy,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",98.0,2008-08-14,Rotten,41.0,9,11,16
Powder Blue,R,3,Drama,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",108.0,2009-05-08,Rotten,25.0,2,2,6
King Corn,NR,5,"Documentary, Musical & Performing Arts, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",90.0,2007-10-12,Fresh,96.0,12,25,1
L' Avocat de la Terreur (Terror's Advocate),R,3,"Art House & International, Documentary, Special Interest","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",138.0,2007-05-18,Certified-Fresh,87.0,18,40,6
Darfur Now,PG,1,"Documentary, Drama, Musical & Performing Arts, Special Interest","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",99.0,2007-11-09,Fresh,73.0,29,43,16
